time,height
21.78,3.6119310779999996
21.8,3.6098639219999997
21.82,3.6102773532
21.84,3.6140035343999997
21.86,3.6181431468
21.88,3.623114922
21.9,3.625182078
21.92,3.6247686467999998
21.94,3.625182078
21.96,3.6272545344
21.98,3.6280813968
22.0,3.6289135595999995
22.02,3.633053172
22.04,3.6392652408
22.06,3.6500303532
22.08,3.6641082156
22.1,3.6798451032
22.12,3.6984813096
22.14,3.7162853532
22.16,3.7303632155999997
22.18,3.7452732407999996
22.2,3.7585242408
22.22,3.7709430779999997
22.24,3.7858531031999996
22.26,3.7966182155999997
22.28,3.8065564656
22.3,3.8202208968
22.32,3.8322316032
22.34,3.8434101467999997
22.36,3.8521081032
22.38,3.8579067408000003
22.4,3.8632866468000002
22.42,3.8694987156
22.44,3.8773698095999998
22.46,3.8864758967999995
22.48,3.8935148279999994
22.5,3.9017993532
22.52,3.9104973096
22.54,3.9146369219999997
22.56,3.9175362408
22.58,3.921262422
22.6,3.9262288968
22.62,3.933267828
22.64,3.9398933279999997
22.66,3.9419657844
22.68,3.9440382408
22.7,3.9490047155999997
22.72,3.956457078
22.74,3.9618422844
22.76,3.9651550344
22.78,3.9688812156
22.8,3.9684677844
22.82,3.9655684656
22.84,3.9622557155999996
22.86,3.9606019908
22.88,3.9597698279999998
22.9,3.9597698279999998
22.92,3.9622557155999996
22.94,3.9622557155999996
22.96,3.9597698279999998
22.98,3.963082578
23.0,3.9717805343999997
23.02,3.9792328968
23.04,3.9871039907999997
23.06,3.9953832156
23.08,4.000768421999999
23.1,4.0049080344
23.12,4.0119469656
23.14,4.0210583532
23.16,4.0264435596
23.18,4.0314100343999995
23.2,4.0367952408
23.22,4.0417617156
23.24,4.0496328096
23.26,4.0587388968
23.28,4.0666099908
23.3,4.072403328
23.32,4.0761348096
23.34,4.079028827999999
23.36,4.0798609908
23.38,4.079028827999999
23.4,4.0798609908
23.42,4.0831737408
23.44,4.0877267844
23.46,4.092279828
23.48,4.0964247408
23.5,4.0997374908
23.52,4.1026368096
23.54,4.1047039656
23.56,4.105530828
23.58,4.1096757408
23.6,4.1142287844
23.62,4.1179549656
23.64,4.1237536032
23.66,4.129965672
23.68,4.133278422
23.7,4.1349321468
23.72,4.1390770596
23.74,4.141971077999999
23.76,4.143216672
23.78,4.1428032408
23.8,4.1415576468
23.82,4.1436301032
23.84,4.1457025596
23.86,4.1457025596
23.88,4.1457025596
23.9,4.1457025596
23.92,4.1457025596
23.94,4.153154922
23.96,4.1688918096
23.98,4.1871092844
24.0,4.2057454908
24.02,4.2206502156
24.04,4.234728078
24.06,4.2463253532
24.08,4.2570904656
24.1,4.2707548968
24.12,4.281106578
24.14,4.290631396799999
24.16,4.298915922
24.18,4.3067817156
24.2,4.3154796719999995
24.22,4.3229320344
24.24,4.3291441032
24.26,4.3349427408
24.28,4.3365964656
24.3,4.3378420596
24.32,4.3423951032
24.34,4.347361578
24.36,4.353573646799999
24.38,4.3556461032
24.4,4.355232672
24.42,4.3548192408
24.44,4.355232672
24.46,4.358545422
24.48,4.361858172
24.5,4.3647574908
24.52,4.3701373968
24.54,4.3742823096
24.56,4.3775950596
24.58,4.381321240799999
24.6,4.3850474219999995
24.62,4.3900138968
24.64,4.3945722408
24.66,4.3974715596
24.68,4.4007843096
24.7,4.4057507844
24.72,4.4094769656
24.74,4.4111359908
24.76,4.4127897156
24.78,4.416929327999999
24.8,4.4223145344
24.82,4.4272863095999995
24.84,4.4305990596
24.86,4.4351521032
24.88,4.4392917156
24.9,4.4392917156
24.92,4.440118578
24.94,4.443431328
24.96,4.4455037844
24.98,4.4459172156
25.0,4.4463306468
25.02,4.4475762408
25.04,4.4504755596
25.06,4.4521292844
25.08,4.4529561468
25.1,4.453788309599999
25.12,4.453788309599999
25.14,4.453788309599999
25.16,4.454615172
25.18,4.4657937156
25.2,4.4860836468
25.22,4.5026473968
25.24,4.5187977156
25.26,4.5390876468
25.28,4.5581372844
25.3,4.5734607408
25.32,4.5862983096
25.34,4.598303715599999
25.36,4.6119681468
25.38,4.622319828
25.4,4.632258078
25.42,4.6479949656
25.44,4.6612459656
25.46,4.6695304908
25.48,4.6782231468
25.5,4.685262078
25.52,4.6927197408
25.54,4.7014123967999994
25.56,4.7072110344
25.58,4.7125962408
25.6,4.7208754656
25.62,4.732059309599999
25.64,4.7407519656
25.66,4.7473774656
25.68,4.7544163968
25.7,4.7602150344
25.72,4.7647680779999995
25.74,4.7701532844
25.76,4.775951922
25.78,4.781331828
25.8,4.7838177156
25.82,4.7871304656
25.84,4.7933425344
25.86,4.797482146799999
25.88,4.7983143096
25.9,4.7999680344
25.92,4.804521078
25.94,4.8082525596
25.96,4.812392172
25.98,4.817772078
26.0,4.8235707156
26.02,4.831441809599999
26.04,4.8326821032
26.06,4.8272968968
26.08,4.8256431719999995
26.1,4.822330421999999
26.12,4.8169452156
26.14,4.8140458968
26.16,4.8115653096
26.18,4.809079422
26.2,4.805766672
26.22,4.8036942156
26.24,4.8032807844
26.26,4.804521078
26.28,4.8049398096
26.3,4.8003814656
26.32,4.7970687156
26.34,4.797895577999999
26.36,4.7987277408
26.38,4.797895577999999
26.4,4.797895577999999
26.42,4.7987277408
26.44,4.8003814656
26.46,4.805766672
26.48,4.8115653096
26.5,4.8107331468
26.52,4.8082525596
26.54,4.8082525596
26.56,4.8082525596
26.58,4.8036942156
26.6,4.7966552844
26.62,4.7933425344
26.64,4.791270078
26.66,4.788376059599999
26.68,4.7842311468
26.7,4.7809183968
26.72,4.7788512408
26.74,4.7742928968000005
26.76,4.7701532844
26.78,4.767667396799999
26.8,4.7668405344
26.82,4.7684995596
26.84,4.767667396799999
26.86,4.7598016032
26.88,4.7540029656
26.9,4.752762672
26.92,4.7506902156
26.94,4.7511036468
26.96,4.7506902156
26.98,4.7502767844
27.0,4.7506902156
27.02,4.749449922
27.04,4.749863353199999
27.06,4.7502767844
27.08,4.7490364908
27.1,4.7486230596
27.12,4.7473774656
27.14,4.744891578
27.16,4.7457237408
27.18,4.749863353199999
27.2,4.7535895344
27.22,4.758561309599999
27.24,4.763941215599999
27.26,4.7651868096
27.28,4.7664271032
27.3,4.7668405344
27.32,4.7664271032
27.34,4.771393578
27.36,4.776365353199999
27.38,4.7817505596
27.4,4.789202921999999
27.42,4.797895577999999
27.44,4.805766672
27.46,4.809906284399999
27.48,4.8140458968
27.5,4.817772078
27.52,4.8235707156
27.54,4.831441809599999
27.56,4.837235146799999
27.58,4.8413800596
27.6,4.844274078
27.62,4.845519672
27.64,4.8467599655999996
27.66,4.8492458532
27.68,4.8595975344
27.7,4.8790606032
27.72,4.9014229907999995
27.74,4.925025671999999
27.76,4.9478014908
27.78,4.9726444656
27.8,4.999973328
27.82,5.0281343532
27.84,5.0558766468
27.86,5.0852779656
27.88,5.114679284399999
27.9,5.1411812844
27.92,5.1685101468
27.94,5.1958443096
27.96,5.219860422
27.98,5.2434631032
28.0,5.2670657844
28.02,5.289428172
28.04,5.308456607999999
28.06,5.326689984000001
28.08,5.346142452
28.1,5.364375828
28.12,5.380542048
28.14,5.395860204
28.16,5.408687172
28.18,5.413245516
28.2,5.416160736
28.22,5.422786236
28.24,5.429782764
28.26,5.439747516
28.28,5.451355392
28.3,5.463334295999999
28.32,5.473723079999999
28.34,5.484853919999999
28.36,5.498528952
28.38,5.508917735999999
28.4,5.522168736
28.42,5.535419736
28.44,5.542840296
28.46,5.549041764
28.48,5.555667263999999
28.5,5.56356486
28.52,5.572681547999999
28.54,5.583441359999999
28.56,5.591285952
28.58,5.597911452
28.6,5.607876203999999
28.62,5.618211984
28.64,5.627752704
28.66,5.637664452
28.68,5.6472051720000005
28.7,5.655049764
28.72,5.662523328
28.74,5.67036792
28.76,5.677841484
28.78,5.68653414
28.8,5.694431736
28.82,5.702700360000001
28.84,5.710544951999999
28.86,5.71303614
28.88,5.7171704519999995
28.9,5.724219984
28.92,5.728354296
28.94,5.73211758
28.96,5.737895016
28.98,5.741181263999999
29.0,5.744096483999999
29.02,5.747806764
29.04,5.748654828
29.06,5.750297952
29.08,5.754432264
29.1,5.757347483999999
29.12,5.762753891999999
29.14,5.770174452
29.16,5.773937736
29.18,5.778072047999999
29.2,5.78220636
29.22,5.782630392
29.24,5.785492608
29.26,5.790474983999999
29.28,5.794609296
29.3,5.79916764
29.32,5.80579314
29.34,5.814485796
29.36,5.82195936
29.38,5.825669639999999
29.4,5.829803952
29.42,5.835634392
29.44,5.840987796
29.46,5.845122108
29.48,5.846818235999999
29.5,5.851376579999999
29.52,5.857154016
29.54,5.861288328
29.56,5.864998608
29.58,5.867065764
29.6,5.869556952
29.62,5.874539328
29.64,5.88238392
29.66,5.889857484
29.68,5.896907016
29.7,5.90809086
29.72,5.918850672
29.74,5.92796736
29.76,5.9383031399999995
29.78,5.94784386
29.8,5.956960548
29.82,5.966872295999999
29.84,5.975564952
29.86,5.982190452
29.88,5.990883108
29.9,5.99713758
29.92,6.00164292
29.94,6.006625296
29.96,6.009540516
29.98,6.012455735999999
30.0,6.016590047999999
30.02,6.0232155480000005
30.04,6.0302650799999995
30.06,6.035194452
30.08,6.038109672
30.1,6.038533704
30.12,6.041024891999999
30.14,6.049293516
30.16,6.060901392
30.18,6.074947452
30.2,6.087403392
30.22,6.100654391999999
30.24,6.11639658
30.26,6.132933828
30.28,6.1470328919999995
30.3,6.158587764
30.32,6.166061328
30.34,6.1731108599999995
30.36,6.183870671999999
30.38,6.192139296
30.4,6.200036891999999
30.42,6.2099486399999995
30.44,6.217422204
30.46,6.2219805479999994
30.48,6.2273339519999995
30.5,6.231468263999999
30.52,6.23353542
30.54,6.23645064
30.56,6.24307614
30.58,6.250125671999999
30.6,6.25341192
30.62,6.255903107999999
30.64,6.258394296
30.66,6.258818327999999
30.68,6.265019796
30.7,6.27911886
30.72,6.293588952
30.74,6.306415919999999
30.76,6.3192958919999995
30.78,6.330850764
30.8,6.339967451999999
30.82,6.350727263999999
30.84,6.361116048
30.86,6.3698087039999995
30.88,6.39175236
30.9,6.4116288599999995
30.92,6.416611236
30.94,6.419473452
30.96,6.42567492
30.98,6.43150536
31.0,6.435215639999999
31.02,6.440198015999999
31.04,6.445180392
31.06,6.45138186
31.08,6.455516171999999
31.1,6.458431392
31.12,6.4604985479999995
31.14,6.460922579999999
31.16,6.463784796
31.18,6.46542792
31.2,6.4671240480000005
